,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002795.SZ,20190425,20190425,20190331,1,1,0.0736,0.0736,137327723.12,137327723.12,,,,,,,,,,,,,,,-391516.44,1690482.02,,,121818178.45,96714639.14,,,1431583.68,6670151.41,10396466.65,1738943.99,802856.91,,,,,,,,,,,17935755.24,,59059.23,,17876696.01,3161727.38,14714968.63,14714968.63,,-75249.69,14639718.94,14639718.94,,19178590.56,,,,
0,002796.SZ,20190417,20190417,20190331,1,1,0.13,0.13,350988515.45,350988515.45,,,,,,,,,,,,,,,,1953349.06,,,335522670.75,293911208.72,,,1060813.77,7750316.98,13293927.12,2340385.93,3758156.1,,,,,,,,,,,17908546.74,47496.93,4703.29,,17951340.38,2332349.99,15618990.39,14836076.97,782913.42,31886.66,15650877.05,14896712.26,754164.79,,,,,
1,002796.SZ,20190417,20190417,20190331,1,1,0.13,0.13,350988515.45,350988515.45,,,,,,,,,,,,,,,,1953349.06,,,335522670.75,293911208.72,,,1060813.77,7750316.98,13293927.12,2340385.93,3758156.1,,,,,,,,,,,17908546.74,47496.93,4703.29,,17951340.38,2332349.99,15618990.39,14836076.97,782913.42,31886.66,15650877.05,14896712.26,754164.79,22079455.2,,,,
0,002797.SZ,20190425,20190425,20190331,1,4,0.08,0.08,810141040.51,810141040.51,126452055.32,,,358275581.16,489707621.49,12480086.06,,,,,79879846.49,86434785.23,161646661.99,15099224.33,249935674.91,227284399.67,36086950.43,-3399.73,411767065.6,,167058489.11,,5007330.36,,382647276.77,,,,,,,,411767065.6,,,,2619138.27,398373974.91,1707737.84,458536.55,,399623176.2,80220073.59,319403102.61,285578023.09,33825079.52,-359641.57,319043461.04,285354024.23,33689436.81,,,,,
0,002798.SZ,20190426,20190426,20190331,1,1,0.17,0.17,1041303107.13,1041303107.13,,,,,,,,,,,,,,,,-17580.87,,,973153029.51,691087499.89,,,10426437.5,181714138.46,40744301.69,8211843.94,2670904.21,,,,,,,,,,,76766951.52,652995.22,844514.67,,76575432.07,12060324.32,64515107.75,65731210.55,-1216102.8,,64515107.75,65731210.55,-1216102.8,,,,,
1,002798.SZ,20190426,20190426,20190331,1,1,0.17,0.17,1041303107.13,1041303107.13,,,,,,,,,,,,,,,,-17580.87,,,973153029.51,691087499.89,,,10426437.5,181714138.46,40744301.69,8211843.94,2670904.21,,,,,,,,,,,76766951.52,652995.22,844514.67,,76575432.07,12060324.32,64515107.75,65731210.55,-1216102.8,,64515107.75,65731210.55,-1216102.8,87667280.54,,,,
0,002799.SZ,20190426,20190426,20190331,1,1,0.09,0.09,190225091.88,190225091.88,,,,,,,,,,,,,,,,2796919.27,2796919.27,,174442420.32,152869458.65,,,1652868.02,7086984.2,5485243.91,1668646.7,1055107.46,,,,,,,,,,,18580343.66,,,,18580343.66,1467879.47,17112464.19,14058482.68,3053981.51,,17112464.19,14058482.68,3053981.51,,,,,
1,002799.SZ,20190426,20190426,20190331,1,1,0.09,0.09,190225091.88,190225091.88,,,,,,,,,,,,,,,,2796919.27,2796919.27,,174442420.32,152869458.65,,,1652868.02,7086984.2,5485243.91,1668646.7,1055107.46,,,,,,,,,,,18580343.66,,,,18580343.66,1467879.47,17112464.19,14058482.68,3053981.51,,17112464.19,14058482.68,3053981.51,18506425.72,,,,
0,002800.SZ,20190430,20190430,20190331,1,1,0.0377,0.0377,233978235.04,233978235.04,,,,,,,,,,,,,,,,3064982.66,,,237044331.44,219851863.45,,,1428121.84,2725725.94,5681866.83,5101268.11,1570557.01,,,,,,,,,,,178003.6,0.11,502551.3,,-324547.59,522095.49,-846643.08,2814322.94,-3660966.02,,-846643.08,2814322.94,-3660966.02,,,,,
1,002800.SZ,20190430,20190430,20190331,1,1,0.0377,0.0377,233978235.04,233978235.04,,,,,,,,,,,,,,,,3064982.66,,,237044331.44,219851863.45,,,1428121.84,2725725.94,5681866.83,5101268.11,1570557.01,,,,,,,,,,,178003.6,0.11,502551.3,,-324547.59,522095.49,-846643.08,2814322.94,-3660966.02,,-846643.08,2814322.94,-3660966.02,3784846.06,,,,
