,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,300016.SZ,20190726,20190726,20190630,1,1,112021386.39,,399572390.88,,,,,,,,,,,,,3171529.69,402743920.57,140230251.14,52443710.25,48355618.71,,,,,,119772889.3,360802469.4,41941451.17,290000000.0,430394.22,1454394.97,,,291884789.19,15552382.2,,,290000000.0,,305552382.2,-13667593.01,,,,,-22029148.7155,,48898987.6,,,48898987.6,-48898987.6,,-20625129.44,191043950.67,170418821.23,,,,2056785.53,9490153.61,742267.03,188487.32,,,,735.79,,-15059861.79,169220.72,1134941.51,-41073366.79,-35563180.32,9723132.17,-1889250.0,41941451.17,,,,170418821.23,191043950.67,,,-20625129.44
0,300017.SZ,20190817,20190817,20190630,1,1,806046992.34,-4924967.2,2792088769.99,562277.18,,,,,,,,,,,,28698495.04,2821349542.21,1806189712.25,586853702.44,75864416.51,,,,,,137583720.64,2606491551.84,214857990.37,,5922141820.0,161511044.93,639454.09,1546573538.67,7630865857.69,475540434.55,6826181419.59,2526702.31,,,7304248556.45,326617301.24,1279380619.85,,,1279380619.85,-1075028948.359,1410059231.07,101354454.69,,65869276.16,1577282961.92,-297902342.07,-2748822.92,240824126.62,787082092.33,1027906218.95,,,,19525192.98,207979004.32,80191454.05,5268555.41,,,8472591.02,,-507613.75,-745315110.07,53531979.4,-1087474.25,-5906875.61,-626802308.19,433575520.49,-15188950.57,214857990.37,,,,1027906218.95,787082092.33,,,240824126.62
1,300017.SZ,20190817,20190817,20190630,1,1,806046992.34,-4924967.2,2792088769.99,562277.18,,,,,,,,,,,,28698495.04,2821349542.21,1806189712.25,586853702.44,75864416.51,,,,,,137583720.64,2606491551.84,214857990.37,,5922141820.0,161511044.93,639454.09,1546573538.67,7630865857.69,475540434.55,6826181419.59,2526702.31,,,7304248556.45,326617301.24,1279380619.85,,,1279380619.85,,1410059231.07,101354454.69,,65869276.16,1577282961.92,-297902342.07,-2748822.92,240824126.62,787082092.33,1027906218.95,,,,19525192.98,207979004.32,80191454.05,5268555.41,,,8472591.02,,-507613.75,-745315110.07,53531979.4,-1087474.25,-5906875.61,-626802308.19,433575520.49,-15188950.57,214857990.37,,,,1027906218.95,787082092.33,,,240824126.62
0,300018.SZ,20190830,20190830,20190630,1,1,4218648.4,,214250686.15,3180051.02,,,,,,,,,,,,19451911.63,236882648.8,85035017.41,58980080.08,17952780.07,,,,,,55616106.9,217583984.46,19298664.34,,,,409400.0,12227954.29,12637354.29,4304307.8,44350000.0,,,,48654307.8,-36016953.51,3000000.0,,,4400000.0,-22452978.5242,,806650.76,,9593340.0,10399990.76,-5999990.76,,-22718279.93,499618168.52,476899888.59,1400000.0,1400000.0,,-3634286.2,5377898.16,4185172.84,271276.25,,,-277373.56,,,-176374.37,1485160.47,-478602.47,-6193048.8,39719193.91,-25199000.29,,19298664.34,,,,476899888.59,499618168.52,,,-22718279.93
0,300019.SZ,20190829,20190829,20190630,1,1,44676230.61,1330507.64,225832073.49,560749.51,,,,,,,,,,,,6669794.29,233062617.29,147707867.87,48253316.5,25945520.66,,,,,,27746113.03,249652818.06,-16590200.77,,,,,,,7578307.71,,,,,7578307.71,-7578307.71,,,,,,9500000.0,1330507.64,,,10830507.64,-10830507.64,-14429.98,-35013446.1,142601230.93,107587784.83,,,,1885223.76,14652868.05,1028027.42,207165.12,,,,,,-131118.39,-310870.74,,-35698808.4,-50600020.17,6370594.33,,-16590200.77,,,,107587784.83,142601230.93,,,-35013446.1
1,300019.SZ,20190829,20190829,20190630,1,1,44676230.61,1330507.64,225832073.49,560749.51,,,,,,,,,,,,6669794.29,233062617.29,147707867.87,48253316.5,25945520.66,,,,,,27746113.03,249652818.06,-16590200.77,,,,,,,7578307.71,,,,,7578307.71,-7578307.71,,,,,-10793621.3516,9500000.0,1330507.64,,,10830507.64,-10830507.64,-14429.98,-35013446.1,142601230.93,107587784.83,,,,1885223.76,14652868.05,1028027.42,207165.12,,,,,,-131118.39,-310870.74,,-35698808.4,-50600020.17,6370594.33,,-16590200.77,,,,107587784.83,142601230.93,,,-35013446.1
0,300020.SZ,20190828,20190828,20190630,1,1,123827582.31,32195648.78,949187504.64,389844.16,,,,,,,,,,,,200878897.52,1150456246.32,1529892567.51,70820784.88,34646766.55,,,,,,282224453.19,1917584572.13,-767128325.81,,,,5142540.68,41000000.0,46142540.68,550991.61,,,,,550991.61,45591549.07,1073820000.0,,61362288.46,1135182288.46,-675047909.8902,649352231.23,34853071.13,,35430029.26,719635331.62,415546956.84,,-305989819.9,604309223.92,298319404.02,,,,25729416.87,12332693.63,7088618.26,1229559.76,,,-4796453.2,,,-49385661.45,-3304220.76,-7153368.2,-228626378.52,-405161639.57,-287302367.34,16198243.62,-767128325.81,,,,298319404.02,604309223.92,,,-305989819.9
0,300021.SZ,20190828,20190828,20190630,1,1,70645796.53,28421546.99,1201976131.42,1085286.69,,,,,,,,,,,,58220763.92,1261282182.03,1092014856.77,80639236.13,138508981.29,,,,,,221178535.32,1532341609.51,-271059427.48,,,,40780.0,,40780.0,116944899.36,13135880.0,,,,130080779.36,-130039999.36,885199164.0,,,898649164.0,,865473034.64,96565329.33,,31364819.2,993403183.17,-94754019.17,1745.36,-495851700.65,1163773819.57,667922118.92,13450000.0,,,104438.22,11157412.52,2210781.48,228119.8,,,1245.0,,,-3202476.82,3578467.55,,70035246.01,-189350681.61,-264889323.15,,-271059427.48,,,,667922118.92,1163773819.57,,,-495851700.65
1,300021.SZ,20190828,20190828,20190630,1,1,70645796.53,28421546.99,1201976131.42,1085286.69,,,,,,,,,,,,58220763.92,1261282182.03,1092014856.77,80639236.13,138508981.29,,,,,,221178535.32,1532341609.51,-271059427.48,,,,40780.0,,40780.0,116944899.36,13135880.0,,,,130080779.36,-130039999.36,885199164.0,,,898649164.0,-512616212.7175,865473034.64,96565329.33,,31364819.2,993403183.17,-94754019.17,1745.36,-495851700.65,1163773819.57,667922118.92,13450000.0,,,104438.22,11157412.52,2210781.48,228119.8,,,1245.0,,,-3202476.82,3578467.55,,70035246.01,-189350681.61,-264889323.15,,-271059427.48,,,,667922118.92,1163773819.57,,,-495851700.65
0,300022.SZ,20190830,20190830,20190630,1,1,-35020765.14,29209672.88,1131759293.3,55021.85,,,,,,,,,,,,12666051.85,1144480367.0,959300146.04,53943423.88,25096361.12,,,,,,87324103.4,1125664034.44,18816332.56,,40250800.0,2245589.06,230778.41,3747784.26,46474951.73,2385120.62,80000000.0,,,,82385120.62,-35910168.89,229351440.0,,258884808.48,508921248.48,,236898740.0,27284112.63,5043341.26,373248448.45,637431301.08,-128510052.6,,-145603888.93,218808415.8,73204526.87,20685000.0,0.0,,-248120.03,5395637.77,965937.72,1446174.2,,,70200.1,,,-2134589.17,9182.72,,-157019004.53,-64747634.91,240889640.95,,18816332.56,,,,73204526.87,218808415.8,,,-145603888.93
